"","GEOID","NAME","tract","county","total_workers","essential","nonessential","conman","food","health","protection","socialservices","transport","total_pop","nonwhite_pct","pov_pct","hh_inc_med"
"532","17031580100","Census Tract 5801, Cook County, Illinois","5801","Cook",1189,0.602186711522288,0.397813288477712,0.230445752733389,0.127838519764508,0.0765349032800673,0.00756938603868797,0.00336417157275021,0.156433978132885,2758,0.956,0.184,41681
"533","17031580200","Census Tract 5802, Cook County, Illinois","5802","Cook",1470,0.647619047619048,0.352380952380952,0.368027210884354,0.129251700680272,0.0380952380952381,0.00272108843537415,0,0.10952380952381,3784,0.941,0.257,43667
"534","17031580300","Census Tract 5803, Cook County, Illinois","5803","Cook",1108,0.715703971119134,0.284296028880866,0.333935018050542,0.159747292418773,0.0108303249097473,0.00541516245487365,0.0180505415162455,0.187725631768953,2555,0.949,0.101,45888
"535","17031580400","Census Tract 5804, Cook County, Illinois","5804","Cook",2262,0.658709106984969,0.341290893015031,0.369142351900973,0.0335985853227233,0.0486295313881521,0.0300618921308576,0.0101679929266136,0.16710875331565,4712,0.911,0.176,41167
"536","17031580501","Census Tract 5805.01, Cook County, Illinois","5805.01","Cook",2133,0.716830754805438,0.283169245194562,0.401781528363807,0.13736521331458,0.0501640881387717,0.0206282231598687,0.0178152836380684,0.0890764181903422,4981,0.915,0.255,39706
"537","17031580502","Census Tract 5805.02, Cook County, Illinois","5805.02","Cook",2583,0.650019357336431,0.349980642663569,0.301974448315912,0.101432442895858,0.0747193186217577,0.0174216027874564,0.00580720092915215,0.148664343786295,5581,0.907,0.212,40233
"538","17031580600","Census Tract 5806, Cook County, Illinois","5806","Cook",2218,0.655545536519387,0.344454463480613,0.296663660955816,0.123083859332732,0.0626690712353472,0.0202885482416592,0.00586113615870153,0.146979260595131,5174,0.883,0.176,46419
"539","17031580700","Census Tract 5807, Cook County, Illinois","5807","Cook",2408,0.645348837209302,0.354651162790698,0.270348837209302,0.124584717607973,0.0369601328903654,0.0207641196013289,0.00498338870431894,0.187707641196013,6238,0.946,0.181,44986
"540","17031580800","Census Tract 5808, Cook County, Illinois","5808","Cook",1021,0.680705190989226,0.319294809010774,0.33692458374143,0.127326150832517,0.0166503428011753,0.0146914789422135,0,0.18511263467189,2213,0.967,0.164,42946
"541","17031590500","Census Tract 5905, Cook County, Illinois","5905","Cook",844,0.619668246445498,0.380331753554502,0.267772511848341,0.172985781990521,0.0971563981042654,0.00829383886255924,0.014218009478673,0.0592417061611374,1842,0.83,0.214,53295
"542","17031590600","Census Tract 5906, Cook County, Illinois","5906","Cook",1661,0.524382901866346,0.475617098133654,0.198675496688742,0.0674292594822396,0.0836845273931367,0.0276941601444913,0.00481637567730283,0.142083082480433,3678,0.791,0.183,40536
"543","17031590700","Census Tract 5907, Cook County, Illinois","5907","Cook",1730,0.552601156069364,0.447398843930636,0.261271676300578,0.104624277456647,0.0751445086705202,0.0277456647398844,0.023121387283237,0.0606936416184971,3393,0.877,0.297,44906
"544","17031600400","Census Tract 6004, Cook County, Illinois","6004","Cook",2094,0.523400191021968,0.476599808978032,0.202960840496657,0.170964660936008,0.0635148042024833,0.0324737344794651,0.0214899713467049,0.0319961795606495,4413,0.791,0.283,34127
"545","17031600600","Census Tract 6006, Cook County, Illinois","6006","Cook",1469,0.526208304969367,0.473791695030633,0.158611300204221,0.177671885636487,0.0558202859087815,0,0.0299523485364193,0.104152484683458,3125,0.812,0.166,36005
"546","17031600700","Census Tract 6007, Cook County, Illinois","6007","Cook",1240,0.478225806451613,0.521774193548387,0.0790322580645161,0.114516129032258,0.0661290322580645,0.0491935483870968,0.0282258064516129,0.141129032258065,2579,0.591,0.179,35523
"547","17031600900","Census Tract 6009, Cook County, Illinois","6009","Cook",1945,0.408740359897172,0.591259640102828,0.119794344473008,0.172750642673522,0.0539845758354756,0.0169665809768638,0.0138817480719794,0.0313624678663239,3466,0.582,0.112,55018
"548","17031610300","Census Tract 6103, Cook County, Illinois","6103","Cook",2272,0.727552816901408,0.272447183098592,0.398327464788732,0.165492957746479,0.0378521126760563,0,0.00440140845070423,0.121478873239437,5941,0.963,0.295,33507
"549","17031610400","Census Tract 6104, Cook County, Illinois","6104","Cook",796,0.694723618090452,0.305276381909548,0.35678391959799,0.124371859296482,0.042713567839196,0.0175879396984925,0,0.153266331658291,1981,0.983,0.419,35804
